"Statistic Label","CensusYear","County","Sex","UNIT","VALUE"
"Population at Each Census","1936","Longford","Both sexes","Number","37847"
"Population at Each Census","1936","Louth","Both sexes","Number","64339"
"Population at Each Census","1936","Meath","Both sexes","Number","61405"
"Population at Each Census","1936","Offaly","Both sexes","Number","51308"
"Population at Each Census","1936","Westmeath","Both sexes","Number","54706"
"Population at Each Census","1936","Wexford","Both sexes","Number","94245"
"Population at Each Census","1936","Wicklow","Both sexes","Number","58569"
"Population at Each Census","1936","Clare","Both sexes","Number","89879"
"Population at Each Census","1936","Cork","Both sexes","Number","355957"
"Population at Each Census","1936","Kerry","Both sexes","Number","139834"
"Population at Each Census","1936","Limerick","Both sexes","Number","141153"
"Population at Each Census","1936","Tipperary","Both sexes","Number","137835"
"Population at Each Census","1936","Waterford","Both sexes","Number","77614"
"Population at Each Census","1936","Galway","Both sexes","Number","168198"
"Population at Each Census","1936","Leitrim","Both sexes","Number","50908"
"Population at Each Census","1936","Mayo","Both sexes","Number","161349"
"Population at Each Census","1936","Roscommon","Both sexes","Number","77566"
"Population at Each Census","1936","Sligo","Both sexes","Number","67447"
"Population at Each Census","1936","Cavan","Both sexes","Number","76670"
"Population at Each Census","1936","Donegal","Both sexes","Number","142310"
"Population at Each Census","1936","Monaghan","Both sexes","Number","61289"
"Population at Each Census","1946","State","Both sexes","Number","2955107"
"Population at Each Census","1946","Carlow","Both sexes","Number","34081"
"Population at Each Census","1946","Dublin","Both sexes","Number","636193"
"Population at Each Census","1946","Kildare","Both sexes","Number","64849"
"Population at Each Census","1946","Kilkenny","Both sexes","Number","66712"
"Population at Each Census","1946","Laois","Both sexes","Number","49697"
"Population at Each Census","1946","Longford","Both sexes","Number","36218"
"Population at Each Census","1946","Louth","Both sexes","Number","66194"
"Population at Each Census","1946","Meath","Both sexes","Number","66232"
"Population at Each Census","1946","Offaly","Both sexes","Number","53686"
"Population at Each Census","1946","Westmeath","Both sexes","Number","54949"
"Population at Each Census","1946","Wexford","Both sexes","Number","91855"
"Population at Each Census","1946","Wicklow","Both sexes","Number","60451"
"Population at Each Census","1946","Clare","Both sexes","Number","85064"
"Population at Each Census","1946","Cork","Both sexes","Number","343668"
"Population at Each Census","1946","Kerry","Both sexes","Number","133893"
"Population at Each Census","1946","Limerick","Both sexes","Number","142559"
"Population at Each Census","1946","Tipperary","Both sexes","Number","136014"
"Population at Each Census","1946","Waterford","Both sexes","Number","76108"
"Population at Each Census","1946","Galway","Both sexes","Number","165201"
"Population at Each Census","1946","Leitrim","Both sexes","Number","44591"
"Population at Each Census","1946","Mayo","Both sexes","Number","148120"
"Population at Each Census","1946","Roscommon","Both sexes","Number","72510"
"Population at Each Census","1946","Sligo","Both sexes","Number","62375"
"Population at Each Census","1946","Cavan","Both sexes","Number","70355"
"Population at Each Census","1946","Donegal","Both sexes","Number","136317"
"Population at Each Census","1946","Monaghan","Both sexes","Number","57215"
"Population at Each Census","1951","State","Both sexes","Number","2960593"
"Population at Each Census","1951","Carlow","Both sexes","Number","34162"
"Population at Each Census","1951","Dublin","Both sexes","Number","693022"
"Population at Each Census","1951","Kildare","Both sexes","Number","66437"
"Population at Each Census","1951","Kilkenny","Both sexes","Number","65235"
"Population at Each Census","1951","Laois","Both sexes","Number","48430"
"Population at Each Census","1951","Longford","Both sexes","Number","34553"
"Population at Each Census","1951","Louth","Both sexes","Number","68771"
"Population at Each Census","1951","Meath","Both sexes","Number","66337"
"Population at Each Census","1951","Offaly","Both sexes","Number","52544"
"Population at Each Census","1951","Westmeath","Both sexes","Number","54463"
"Population at Each Census","1951","Wexford","Both sexes","Number","90032"
"Population at Each Census","1951","Wicklow","Both sexes","Number","62590"
"Population at Each Census","1951","Clare","Both sexes","Number","81329"
"Population at Each Census","1951","Cork","Both sexes","Number","341284"
"Population at Each Census","1951","Kerry","Both sexes","Number","126644"
"Population at Each Census","1951","Limerick","Both sexes","Number","141239"
"Population at Each Census","1951","Tipperary","Both sexes","Number","133313"
"Population at Each Census","1951","Waterford","Both sexes","Number","75061"
"Population at Each Census","1951","Galway","Both sexes","Number","160204"
"Population at Each Census","1951","Leitrim","Both sexes","Number","41209"
"Population at Each Census","1951","Mayo","Both sexes","Number","141867"
"Population at Each Census","1951","Roscommon","Both sexes","Number","68102"
"Population at Each Census","1951","Sligo","Both sexes","Number","60513"
"Population at Each Census","1951","Cavan","Both sexes","Number","66377"
"Population at Each Census","1951","Donegal","Both sexes","Number","131530"
"Population at Each Census","1951","Monaghan","Both sexes","Number","55345"
"Population at Each Census","1956","State","Both sexes","Number","2898264"
"Population at Each Census","1956","Carlow","Both sexes","Number","33888"
"Population at Each Census","1956","Dublin","Both sexes","Number","705781"
"Population at Each Census","1956","Kildare","Both sexes","Number","65915"
"Population at Each Census","1956","Kilkenny","Both sexes","Number","64089"
"Population at Each Census","1956","Laois","Both sexes","Number","47087"
"Population at Each Census","1956","Longford","Both sexes","Number","32969"
"Population at Each Census","1956","Louth","Both sexes","Number","69194"
"Population at Each Census","1956","Meath","Both sexes","Number","66762"
"Population at Each Census","1956","Offaly","Both sexes","Number","51970"
"Population at Each Census","1956","Westmeath","Both sexes","Number","54122"
"Population at Each Census","1956","Wexford","Both sexes","Number","87259"
"Population at Each Census","1956","Wicklow","Both sexes","Number","59906"
"Population at Each Census","1956","Clare","Both sexes","Number","77176"
"Population at Each Census","1956","Cork","Both sexes","Number","336663"
"Population at Each Census","1956","Kerry","Both sexes","Number","122072"
"Population at Each Census","1956","Limerick","Both sexes","Number","137881"
"Population at Each Census","1956","Tipperary","Both sexes","Number","129415"
"Population at Each Census","1956","Waterford","Both sexes","Number","74031"
"Population at Each Census","1956","Galway","Both sexes","Number","155553"
"Population at Each Census","1956","Leitrim","Both sexes","Number","37056"
"Population at Each Census","1956","Mayo","Both sexes","Number","133052"
"Population at Each Census","1956","Roscommon","Both sexes","Number","63710"
"Population at Each Census","1956","Sligo","Both sexes","Number","56850"
"Population at Each Census","1956","Cavan","Both sexes","Number","61740"
"Population at Each Census","1956","Donegal","Both sexes","Number","122059"
"Population at Each Census","1956","Monaghan","Both sexes","Number","52064"
"Population at Each Census","1961","State","Both sexes","Number","2818341"
"Population at Each Census","1961","Carlow","Both sexes","Number","33342"
"Population at Each Census","1961","Dublin","Both sexes","Number","718332"
"Population at Each Census","1961","Kildare","Both sexes","Number","64420"
"Population at Each Census","1961","Kilkenny","Both sexes","Number","61668"
"Population at Each Census","1961","Laois","Both sexes","Number","45069"
"Population at Each Census","1961","Longford","Both sexes","Number","30643"
"Population at Each Census","1961","Louth","Both sexes","Number","67378"
"Population at Each Census","1961","Meath","Both sexes","Number","65122"
"Population at Each Census","1961","Offaly","Both sexes","Number","51533"
"Population at Each Census","1961","Westmeath","Both sexes","Number","52861"
"Population at Each Census","1961","Wexford","Both sexes","Number","83308"
"Population at Each Census","1961","Wicklow","Both sexes","Number","58473"
"Population at Each Census","1961","Clare","Both sexes","Number","73702"
"Population at Each Census","1961","Cork","Both sexes","Number","330443"
"Population at Each Census","1961","Kerry","Both sexes","Number","116458"
"Population at Each Census","1961","Limerick","Both sexes","Number","133339"
"Population at Each Census","1961","Tipperary","Both sexes","Number","123822"
"Population at Each Census","1961","Waterford","Both sexes","Number","71439"
"Population at Each Census","1961","Galway","Both sexes","Number","149887"
"Population at Each Census","1961","Leitrim","Both sexes","Number","33470"
"Population at Each Census","1961","Mayo","Both sexes","Number","123330"
"Population at Each Census","1961","Roscommon","Both sexes","Number","59217"
"Population at Each Census","1961","Sligo","Both sexes","Number","53561"
"Population at Each Census","1961","Cavan","Both sexes","Number","56594"
"Population at Each Census","1961","Donegal","Both sexes","Number","113842"
"Population at Each Census","1961","Monaghan","Both sexes","Number","47088"
"Population at Each Census","1966","State","Both sexes","Number","2884002"
"Population at Each Census","1966","Carlow","Both sexes","Number","33593"
"Population at Each Census","1966","Dublin","Both sexes","Number","795047"
"Population at Each Census","1966","Kildare","Both sexes","Number","66404"
"Population at Each Census","1966","Kilkenny","Both sexes","Number","60463"
"Population at Each Census","1966","Laois","Both sexes","Number","44595"
"Population at Each Census","1966","Longford","Both sexes","Number","28989"
"Population at Each Census","1966","Louth","Both sexes","Number","69519"
"Population at Each Census","1966","Meath","Both sexes","Number","67323"
"Population at Each Census","1966","Offaly","Both sexes","Number","51717"
"Population at Each Census","1966","Westmeath","Both sexes","Number","52900"
"Population at Each Census","1966","Wexford","Both sexes","Number","83437"
"Population at Each Census","1966","Wicklow","Both sexes","Number","60428"
"Population at Each Census","1966","Clare","Both sexes","Number","73597"
"Population at Each Census","1966","Cork","Both sexes","Number","339703"
"Population at Each Census","1966","Kerry","Both sexes","Number","112785"
"Population at Each Census","1966","Limerick","Both sexes","Number","137357"
"Population at Each Census","1966","Tipperary","Both sexes","Number","122812"
"Population at Each Census","1966","Waterford","Both sexes","Number","73080"
"Population at Each Census","1966","Galway","Both sexes","Number","148340"
"Population at Each Census","1966","Leitrim","Both sexes","Number","30572"
"Population at Each Census","1966","Mayo","Both sexes","Number","115547"
"Population at Each Census","1966","Roscommon","Both sexes","Number","56228"
"Population at Each Census","1966","Sligo","Both sexes","Number","51263"
"Population at Each Census","1966","Cavan","Both sexes","Number","54022"
"Population at Each Census","1966","Donegal","Both sexes","Number","108549"
"Population at Each Census","1966","Monaghan","Both sexes","Number","45732"
"Population at Each Census","1971","State","Both sexes","Number","2978248"
"Population at Each Census","1971","Carlow","Both sexes","Number","34237"
"Population at Each Census","1971","Dublin","Both sexes","Number","852219"
"Population at Each Census","1971","Kildare","Both sexes","Number","71977"
"Population at Each Census","1971","Kilkenny","Both sexes","Number","61473"
"Population at Each Census","1971","Laois","Both sexes","Number","45259"
"Population at Each Census","1971","Longford","Both sexes","Number","28250"
"Population at Each Census","1971","Louth","Both sexes","Number","74951"
"Population at Each Census","1971","Meath","Both sexes","Number","71729"
"Population at Each Census","1971","Offaly","Both sexes","Number","51829"
"Population at Each Census","1971","Westmeath","Both sexes","Number","53570"
"Population at Each Census","1971","Wexford","Both sexes","Number","86351"
"Population at Each Census","1971","Wicklow","Both sexes","Number","66295"
"Population at Each Census","1971","Clare","Both sexes","Number","75008"
"Population at Each Census","1971","Cork","Both sexes","Number","352883"
"Population at Each Census","1971","Kerry","Both sexes","Number","112772"
"Population at Each Census","1971","Limerick","Both sexes","Number","140459"
"Population at Each Census","1971","Tipperary","Both sexes","Number","123565"
"Population at Each Census","1971","Waterford","Both sexes","Number","77315"
"Population at Each Census","1971","Galway","Both sexes","Number","149223"
"Population at Each Census","1971","Leitrim","Both sexes","Number","28360"
"Population at Each Census","1971","Mayo","Both sexes","Number","109525"
"Population at Each Census","1971","Roscommon","Both sexes","Number","53519"
"Population at Each Census","1971","Sligo","Both sexes","Number","50275"
"Population at Each Census","1971","Cavan","Both sexes","Number","52618"
"Population at Each Census","1971","Donegal","Both sexes","Number","108344"
"Population at Each Census","1971","Monaghan","Both sexes","Number","46242"
"Population at Each Census","1979","State","Both sexes","Number","3368217"
"Population at Each Census","1979","Carlow","Both sexes","Number","38668"
"Population at Each Census","1979","Dublin","Both sexes","Number","983683"
"Population at Each Census","1979","Kildare","Both sexes","Number","97185"
"Population at Each Census","1979","Kilkenny","Both sexes","Number","69156"
"Population at Each Census","1979","Laois","Both sexes","Number","49936"
"Population at Each Census","1979","Longford","Both sexes","Number","30785"
"Population at Each Census","1979","Louth","Both sexes","Number","86135"
"Population at Each Census","1979","Meath","Both sexes","Number","90715"
"Population at Each Census","1979","Offaly","Both sexes","Number","57342"
"Population at Each Census","1979","Westmeath","Both sexes","Number","59885"
"Population at Each Census","1979","Wexford","Both sexes","Number","96421"
"Population at Each Census","1979","Wicklow","Both sexes","Number","83950"
"Population at Each Census","1979","Clare","Both sexes","Number","84919"
"Population at Each Census","1979","Cork","Both sexes","Number","396118"
"Population at Each Census","1979","Kerry","Both sexes","Number","120356"
"Population at Each Census","1979","Limerick","Both sexes","Number","157407"
"Population at Each Census","1979","Tipperary","Both sexes","Number","133741"
"Population at Each Census","1979","Waterford","Both sexes","Number","87278"
"Population at Each Census","1979","Galway","Both sexes","Number","167838"
"Population at Each Census","1979","Leitrim","Both sexes","Number","27844"
"Population at Each Census","1979","Mayo","Both sexes","Number","114019"
"Population at Each Census","1979","Roscommon","Both sexes","Number","54189"
"Population at Each Census","1979","Sligo","Both sexes","Number","54610"
"Population at Each Census","1979","Cavan","Both sexes","Number","53720"
"Population at Each Census","1979","Donegal","Both sexes","Number","121941"
"Population at Each Census","1979","Monaghan","Both sexes","Number","50376"
"Population at Each Census","1981","State","Both sexes","Number","3443405"
"Population at Each Census","1981","Carlow","Both sexes","Number","39820"
"Population at Each Census","1981","Dublin","Both sexes","Number","1003164"
"Population at Each Census","1981","Kildare","Both sexes","Number","104122"
"Population at Each Census","1981","Kilkenny","Both sexes","Number","70806"
"Population at Each Census","1981","Laois","Both sexes","Number","51171"
