,Statistic Label,CensusYear,County,Sex,UNIT,VALUE
116,Population at Each Census,1845,Cavan,Both sexes,Number,215523.2
117,Population at Each Census,1845,Donegal,Both sexes,Number,279932.0
118,Population at Each Census,1845,Monaghan,Both sexes,Number,176994.4
119,Population at Each Census,1845,Kerry,Both sexes,Number,271629.6
120,Population at Each Census,1845,Roscommon,Both sexes,Number,221529.0
121,Population at Each Census,1845,Cork,Both sexes,Number,772194.0
122,Population at Each Census,1845,Kilkenny,Both sexes,Number,184951.2
123,Population at Each Census,1845,State,Both sexes,Number,5961902.2
124,Population at Each Census,1845,Carlow,Both sexes,Number,78968.0
125,Population at Each Census,1845,Dublin,Both sexes,Number,385722.6
126,Population at Each Census,1845,Kildare,Both sexes,Number,106982.0
127,Population at Each Census,1845,Laois,Both sexes,Number,137023.6
128,Population at Each Census,1845,Longford,Both sexes,Number,102233.8
129,Population at Each Census,1845,Clare,Both sexes,Number,256812.4
130,Population at Each Census,1845,Meath,Both sexes,Number,166596.0
131,Population at Each Census,1845,Offaly,Both sexes,Number,132944.6
132,Population at Each Census,1845,Westmeath,Both sexes,Number,129342.8
133,Population at Each Census,1845,Wexford,Both sexes,Number,193283.0
134,Population at Each Census,1845,Louth,Both sexes,Number,120008.8
135,Population at Each Census,1846,Kerry,Both sexes,Number,266067.0
136,Population at Each Census,1846,Limerick,Both sexes,Number,296080.5
137,Population at Each Census,1846,Tipperary,Both sexes,Number,383560.0
138,Population at Each Census,1846,Waterford,Both sexes,Number,180111.0
139,Population at Each Census,1846,Galway,Both sexes,Number,380941.0
140,Population at Each Census,1846,Leitrim,Both sexes,Number,133597.0
141,Population at Each Census,1846,Roscommon,Both sexes,Number,213513.5
142,Population at Each Census,1846,Sligo,Both sexes,Number,154700.5
143,Population at Each Census,1846,Cavan,Both sexes,Number,208614.5
144,Population at Each Census,1846,Donegal,Both sexes,Number,275803.0
145,Population at Each Census,1846,Cork,Both sexes,Number,751713.0
146,Population at Each Census,1846,Monaghan,Both sexes,Number,171132.5
147,Population at Each Census,1846,Mayo,Both sexes,Number,331693.0
148,Population at Each Census,1846,Wicklow,Both sexes,Number,112561.0
149,Population at Each Census,1846,Meath,Both sexes,Number,162288.0
150,Population at Each Census,1846,Wexford,Both sexes,Number,191095.5
151,Population at Each Census,1846,State,Both sexes,Number,5820178.0
152,Population at Each Census,1846,Carlow,Both sexes,Number,77153.0
153,Population at Each Census,1846,Dublin,Both sexes,Number,388960.0
154,Population at Each Census,1846,Clare,Both sexes,Number,249417.0
155,Population at Each Census,1846,Kilkenny,Both sexes,Number,180584.0
156,Population at Each Census,1846,Kildare,Both sexes,Number,105105.5
157,Population at Each Census,1846,Longford,Both sexes,Number,98919.5
158,Population at Each Census,1846,Louth,Both sexes,Number,117951.0
159,Population at Each Census,1846,Offaly,Both sexes,Number,129466.5
160,Population at Each Census,1846,Westmeath,Both sexes,Number,126353.5
161,Population at Each Census,1846,Laois,Both sexes,Number,132797.0
162,Population at Each Census,1847,Waterford,Both sexes,Number,176895.8
163,Population at Each Census,1847,Kerry,Both sexes,Number,260504.4
164,Population at Each Census,1847,Limerick,Both sexes,Number,289290.8
165,Population at Each Census,1847,Tipperary,Both sexes,Number,373161.4
166,Population at Each Census,1847,Galway,Both sexes,Number,369089.6
167,Population at Each Census,1847,Cavan,Both sexes,Number,201705.8
168,Population at Each Census,1847,Mayo,Both sexes,Number,320254.2
169,Population at Each Census,1847,Roscommon,Both sexes,Number,205498.0
170,Population at Each Census,1847,Sligo,Both sexes,Number,149463.4
171,Population at Each Census,1847,Cork,Both sexes,Number,731232.0
172,Population at Each Census,1847,Leitrim,Both sexes,Number,129257.0
173,Population at Each Census,1847,Wicklow,Both sexes,Number,109844.6
174,Population at Each Census,1847,Clare,Both sexes,Number,242021.6
175,Population at Each Census,1847,Westmeath,Both sexes,Number,123364.2
176,Population at Each Census,1847,Offaly,Both sexes,Number,125988.4
177,Population at Each Census,1847,Meath,Both sexes,Number,157980.0
178,Population at Each Census,1847,Louth,Both sexes,Number,115893.2
179,Population at Each Census,1847,Longford,Both sexes,Number,95605.2
180,Population at Each Census,1847,Laois,Both sexes,Number,128570.4
181,Population at Each Census,1847,Kilkenny,Both sexes,Number,176216.8
182,Population at Each Census,1847,Kildare,Both sexes,Number,103229.0
183,Population at Each Census,1847,Dublin,Both sexes,Number,392197.4
184,Population at Each Census,1847,Carlow,Both sexes,Number,75338.0
185,Population at Each Census,1847,State,Both sexes,Number,5678453.8
186,Population at Each Census,1847,Donegal,Both sexes,Number,271674.0
187,Population at Each Census,1847,Wexford,Both sexes,Number,188908.0
188,Population at Each Census,1847,Monaghan,Both sexes,Number,165270.6
189,Population at Each Census,1848,Clare,Both sexes,Number,234626.2
190,Population at Each Census,1848,Carlow,Both sexes,Number,73523.0
191,Population at Each Census,1848,Monaghan,Both sexes,Number,159408.7
192,Population at Each Census,1848,Donegal,Both sexes,Number,267545.0
193,Population at Each Census,1848,Cavan,Both sexes,Number,194797.1
194,Population at Each Census,1848,Sligo,Both sexes,Number,144226.3
195,Population at Each Census,1848,Roscommon,Both sexes,Number,197482.5
196,Population at Each Census,1848,Mayo,Both sexes,Number,308815.4
197,Population at Each Census,1848,Leitrim,Both sexes,Number,124917.0
198,Population at Each Census,1848,Waterford,Both sexes,Number,173680.6
199,Population at Each Census,1848,Tipperary,Both sexes,Number,362762.8
200,Population at Each Census,1848,Limerick,Both sexes,Number,282501.1
201,Population at Each Census,1848,Kerry,Both sexes,Number,254941.8
202,Population at Each Census,1848,Cork,Both sexes,Number,710751.0
203,Population at Each Census,1848,Galway,Both sexes,Number,357238.2
204,Population at Each Census,1848,Wicklow,Both sexes,Number,107128.2
205,Population at Each Census,1848,State,Both sexes,Number,5536729.6
206,Population at Each Census,1848,Kildare,Both sexes,Number,101352.5
207,Population at Each Census,1848,Kilkenny,Both sexes,Number,171849.6
208,Population at Each Census,1848,Laois,Both sexes,Number,124343.79999999999
209,Population at Each Census,1848,Longford,Both sexes,Number,92290.9
210,Population at Each Census,1848,Louth,Both sexes,Number,113835.4
211,Population at Each Census,1848,Dublin,Both sexes,Number,395434.8
212,Population at Each Census,1848,Offaly,Both sexes,Number,122510.3
213,Population at Each Census,1848,Westmeath,Both sexes,Number,120374.9
214,Population at Each Census,1848,Wexford,Both sexes,Number,186720.5
215,Population at Each Census,1848,Meath,Both sexes,Number,153672.0
216,Population at Each Census,1849,Cork,Both sexes,Number,690270.0
217,Population at Each Census,1849,Kerry,Both sexes,Number,249379.2
218,Population at Each Census,1849,Limerick,Both sexes,Number,275711.4
219,Population at Each Census,1849,Tipperary,Both sexes,Number,352364.2
220,Population at Each Census,1849,Waterford,Both sexes,Number,170465.4
221,Population at Each Census,1849,Galway,Both sexes,Number,345386.8
222,Population at Each Census,1849,Roscommon,Both sexes,Number,189467.0
223,Population at Each Census,1849,Mayo,Both sexes,Number,297376.6
224,Population at Each Census,1849,Sligo,Both sexes,Number,138989.2
225,Population at Each Census,1849,Cavan,Both sexes,Number,187888.4
226,Population at Each Census,1849,Donegal,Both sexes,Number,263416.0
227,Population at Each Census,1849,Monaghan,Both sexes,Number,153546.8
228,Population at Each Census,1849,Leitrim,Both sexes,Number,120577.0
229,Population at Each Census,1849,Clare,Both sexes,Number,227230.8
230,Population at Each Census,1849,Laois,Both sexes,Number,120117.2
231,Population at Each Census,1849,Wexford,Both sexes,Number,184533.0
232,Population at Each Census,1849,Wicklow,Both sexes,Number,104411.8
233,Population at Each Census,1849,State,Both sexes,Number,5395005.4
234,Population at Each Census,1849,Carlow,Both sexes,Number,71708.0
235,Population at Each Census,1849,Dublin,Both sexes,Number,398672.2
236,Population at Each Census,1849,Kilkenny,Both sexes,Number,167482.4
237,Population at Each Census,1849,Kildare,Both sexes,Number,99476.0
238,Population at Each Census,1849,Longford,Both sexes,Number,88976.6
239,Population at Each Census,1849,Louth,Both sexes,Number,111777.6
240,Population at Each Census,1849,Meath,Both sexes,Number,149364.0
241,Population at Each Census,1849,Offaly,Both sexes,Number,119032.2
242,Population at Each Census,1849,Westmeath,Both sexes,Number,117385.6
243,Population at Each Census,1850,Waterford,Both sexes,Number,167250.2
244,Population at Each Census,1850,Limerick,Both sexes,Number,268921.7
245,Population at Each Census,1850,Tipperary,Both sexes,Number,341965.6
246,Population at Each Census,1850,Kerry,Both sexes,Number,243816.6
247,Population at Each Census,1850,Galway,Both sexes,Number,333535.4
248,Population at Each Census,1850,Monaghan,Both sexes,Number,147684.9
249,Population at Each Census,1850,Mayo,Both sexes,Number,285937.8
250,Population at Each Census,1850,Roscommon,Both sexes,Number,181451.5
251,Population at Each Census,1850,Sligo,Both sexes,Number,133752.1
252,Population at Each Census,1850,Cavan,Both sexes,Number,180979.7
253,Population at Each Census,1850,Cork,Both sexes,Number,669789.0
254,Population at Each Census,1850,Leitrim,Both sexes,Number,116237.0
255,Population at Each Census,1850,Clare,Both sexes,Number,219835.40000000002
256,Population at Each Census,1850,Donegal,Both sexes,Number,259287.0
257,Population at Each Census,1850,Wexford,Both sexes,Number,182345.5
258,Population at Each Census,1850,Wicklow,Both sexes,Number,101695.4
259,Population at Each Census,1850,Carlow,Both sexes,Number,69893.0
260,Population at Each Census,1850,Dublin,Both sexes,Number,401909.6
261,Population at Each Census,1850,Kildare,Both sexes,Number,97599.5
262,Population at Each Census,1850,Kilkenny,Both sexes,Number,163115.2
263,Population at Each Census,1850,State,Both sexes,Number,5253281.2
264,Population at Each Census,1850,Longford,Both sexes,Number,85662.3
265,Population at Each Census,1850,Louth,Both sexes,Number,109719.8
266,Population at Each Census,1850,Meath,Both sexes,Number,145056.0
267,Population at Each Census,1850,Offaly,Both sexes,Number,115554.1
268,Population at Each Census,1850,Westmeath,Both sexes,Number,114396.3
269,Population at Each Census,1850,Laois,Both sexes,Number,115890.6
270,Population at Each Census,1851,Westmeath,Both sexes,Number,111407.0
271,Population at Each Census,1851,Dublin,Both sexes,Number,405147.0
272,Population at Each Census,1851,Kildare,Both sexes,Number,95723.0
273,Population at Each Census,1851,Kilkenny,Both sexes,Number,158748.0
274,Population at Each Census,1851,Laois,Both sexes,Number,111664.0
275,Population at Each Census,1851,Longford,Both sexes,Number,82348.0
276,Population at Each Census,1851,Louth,Both sexes,Number,107662.0
277,Population at Each Census,1851,Meath,Both sexes,Number,140748.0
278,Population at Each Census,1851,Offaly,Both sexes,Number,112076.0
279,Population at Each Census,1851,Wexford,Both sexes,Number,180158.0
280,Population at Each Census,1851,Tipperary,Both sexes,Number,331567.0
281,Population at Each Census,1851,Clare,Both sexes,Number,212440.0
282,Population at Each Census,1851,Cork,Both sexes,Number,649308.0
283,Population at Each Census,1851,Kerry,Both sexes,Number,238254.0
284,Population at Each Census,1851,Limerick,Both sexes,Number,262132.0
285,Population at Each Census,1851,Carlow,Both sexes,Number,68078.0
286,Population at Each Census,1851,Waterford,Both sexes,Number,164035.0
287,Population at Each Census,1851,Galway,Both sexes,Number,321684.0
288,Population at Each Census,1851,Leitrim,Both sexes,Number,111897.0
289,Population at Each Census,1851,Mayo,Both sexes,Number,274499.0
290,Population at Each Census,1851,Roscommon,Both sexes,Number,173436.0
291,Population at Each Census,1851,Wicklow,Both sexes,Number,98979.0
292,Population at Each Census,1851,State,Both sexes,Number,5111557.0
293,Population at Each Census,1851,Cavan,Both sexes,Number,174071.0
294,Population at Each Census,1851,Donegal,Both sexes,Number,255158.0
295,Population at Each Census,1851,Monaghan,Both sexes,Number,141823.0
296,Population at Each Census,1851,Sligo,Both sexes,Number,128515.0
297,Population at Each Census,1852,Sligo,Both sexes,Number,128148.0
298,Population at Each Census,1852,State,Both sexes,Number,5040612.4
299,Population at Each Census,1852,Carlow,Both sexes,Number,66983.9
300,Population at Each Census,1852,Dublin,Both sexes,Number,405657.5
301,Population at Each Census,1852,Kildare,Both sexes,Number,95245.3
302,Population at Each Census,1852,Kilkenny,Both sexes,Number,155324.7
303,Population at Each Census,1852,Laois,Both sexes,Number,109562.6
304,Population at Each Census,1852,Longford,Both sexes,Number,81282.6
305,Population at Each Census,1852,Louth,Both sexes,Number,105967.1
306,Population at Each Census,1852,Meath,Both sexes,Number,137710.5
307,Population at Each Census,1852,Offaly,Both sexes,Number,109872.7
308,Population at Each Census,1852,Westmeath,Both sexes,Number,109354.2
309,Population at Each Census,1852,Wexford,Both sexes,Number,176537.6
310,Population at Each Census,1852,Wicklow,Both sexes,Number,97729.0
311,Population at Each Census,1852,Clare,Both sexes,Number,207826.5
312,Population at Each Census,1852,Cork,Both sexes,Number,638859.0
313,Population at Each Census,1852,Kerry,Both sexes,Number,234608.6
314,Population at Each Census,1852,Limerick,Both sexes,Number,257646.5
315,Population at Each Census,1852,Tipperary,Both sexes,Number,323320.9
316,Population at Each Census,1852,Waterford,Both sexes,Number,161056.7
317,Population at Each Census,1852,Leitrim,Both sexes,Number,111181.7
318,Population at Each Census,1852,Mayo,Both sexes,Number,272528.7
319,Population at Each Census,1852,Monaghan,Both sexes,Number,140288.9
320,Population at Each Census,1852,Donegal,Both sexes,Number,253381.7
321,Population at Each Census,1852,Cavan,Both sexes,Number,172054.5
322,Population at Each Census,1852,Roscommon,Both sexes,Number,171819.6
323,Population at Each Census,1852,Galway,Both sexes,Number,316663.4
324,Population at Each Census,1853,Laois,Both sexes,Number,107461.2
325,Population at Each Census,1853,Cavan,Both sexes,Number,170038.0
326,Population at Each Census,1853,State,Both sexes,Number,4969667.8
327,Population at Each Census,1853,Carlow,Both sexes,Number,65889.8
328,Population at Each Census,1853,Dublin,Both sexes,Number,406168.0
329,Population at Each Census,1853,Kildare,Both sexes,Number,94767.6
330,Population at Each Census,1853,Kilkenny,Both sexes,Number,151901.4
331,Population at Each Census,1853,Longford,Both sexes,Number,80217.2
332,Population at Each Census,1853,Louth,Both sexes,Number,104272.2
333,Population at Each Census,1853,Meath,Both sexes,Number,134673.0
334,Population at Each Census,1853,Offaly,Both sexes,Number,107669.4
335,Population at Each Census,1853,Westmeath,Both sexes,Number,107301.4
336,Population at Each Census,1853,Donegal,Both sexes,Number,251605.4
337,Population at Each Census,1853,Wexford,Both sexes,Number,172917.2
338,Population at Each Census,1853,Cork,Both sexes,Number,628410.0
339,Population at Each Census,1853,Kerry,Both sexes,Number,230963.2
340,Population at Each Census,1853,Limerick,Both sexes,Number,253161.0
341,Population at Each Census,1853,Tipperary,Both sexes,Number,315074.8
342,Population at Each Census,1853,Waterford,Both sexes,Number,158078.4
343,Population at Each Census,1853,Galway,Both sexes,Number,311642.8
344,Population at Each Census,1853,Leitrim,Both sexes,Number,110466.4
345,Population at Each Census,1853,Mayo,Both sexes,Number,270558.4
346,Population at Each Census,1853,Roscommon,Both sexes,Number,170203.2
347,Population at Each Census,1853,Sligo,Both sexes,Number,127781.0
348,Population at Each Census,1853,Clare,Both sexes,Number,203213.0
349,Population at Each Census,1853,Monaghan,Both sexes,Number,138754.8
350,Population at Each Census,1853,Wicklow,Both sexes,Number,96479.0
351,Population at Each Census,1854,Monaghan,Both sexes,Number,137220.7
352,Population at Each Census,1854,Carlow,Both sexes,Number,64795.7
353,Population at Each Census,1854,Dublin,Both sexes,Number,406678.5
354,Population at Each Census,1854,Kildare,Both sexes,Number,94289.9
355,Population at Each Census,1854,Kilkenny,Both sexes,Number,148478.1
356,Population at Each Census,1854,Laois,Both sexes,Number,105359.8
357,Population at Each Census,1854,Longford,Both sexes,Number,79151.8
358,Population at Each Census,1854,Louth,Both sexes,Number,102577.3
359,Population at Each Census,1854,Meath,Both sexes,Number,131635.5
360,Population at Each Census,1854,Offaly,Both sexes,Number,105466.1
361,Population at Each Census,1854,Westmeath,Both sexes,Number,105248.6
362,Population at Each Census,1854,Wexford,Both sexes,Number,169296.8
363,Population at Each Census,1854,Wicklow,Both sexes,Number,95229.0
364,Population at Each Census,1854,Clare,Both sexes,Number,198599.5
365,Population at Each Census,1854,Cork,Both sexes,Number,617961.0
366,Population at Each Census,1854,Kerry,Both sexes,Number,227317.8
367,Population at Each Census,1854,Limerick,Both sexes,Number,248675.5
368,Population at Each Census,1854,Tipperary,Both sexes,Number,306828.7
369,Population at Each Census,1854,Waterford,Both sexes,Number,155100.1
370,Population at Each Census,1854,Galway,Both sexes,Number,306622.2
371,Population at Each Census,1854,Leitrim,Both sexes,Number,109751.1
372,Population at Each Census,1854,Mayo,Both sexes,Number,268588.1
373,Population at Each Census,1854,Roscommon,Both sexes,Number,168586.8
374,Population at Each Census,1854,Sligo,Both sexes,Number,127414.0
375,Population at Each Census,1854,State,Both sexes,Number,4898723.2
376,Population at Each Census,1854,Cavan,Both sexes,Number,168021.5
377,Population at Each Census,1854,Donegal,Both sexes,Number,249829.1
378,Population at Each Census,1855,Dublin,Both sexes,Number,407189.0
379,Population at Each Census,1855,Donegal,Both sexes,Number,248052.8
380,Population at Each Census,1855,Cavan,Both sexes,Number,166005.0
381,Population at Each Census,1855,Sligo,Both sexes,Number,127047.0
382,Population at Each Census,1855,Roscommon,Both sexes,Number,166970.4
383,Population at Each Census,1855,Mayo,Both sexes,Number,266617.8
384,Population at Each Census,1855,Leitrim,Both sexes,Number,109035.8
385,Population at Each Census,1855,Galway,Both sexes,Number,301601.6
386,Population at Each Census,1855,Waterford,Both sexes,Number,152121.8
387,Population at Each Census,1855,Tipperary,Both sexes,Number,298582.6
388,Population at Each Census,1855,Limerick,Both sexes,Number,244190.0
389,Population at Each Census,1855,Kerry,Both sexes,Number,223672.4
390,Population at Each Census,1855,Cork,Both sexes,Number,607512.0
391,Population at Each Census,1855,Clare,Both sexes,Number,193986.0
392,Population at Each Census,1855,Wicklow,Both sexes,Number,93979.0
393,Population at Each Census,1855,Wexford,Both sexes,Number,165676.4
394,Population at Each Census,1855,Westmeath,Both sexes,Number,103195.8
395,Population at Each Census,1855,Offaly,Both sexes,Number,103262.8
396,Population at Each Census,1855,Meath,Both sexes,Number,128598.0
397,Population at Each Census,1855,Louth,Both sexes,Number,100882.4
398,Population at Each Census,1855,Longford,Both sexes,Number,78086.4
399,Population at Each Census,1855,Laois,Both sexes,Number,103258.4
400,Population at Each Census,1855,Kilkenny,Both sexes,Number,145054.8
401,Population at Each Census,1855,Kildare,Both sexes,Number,93812.2
402,Population at Each Census,1855,Carlow,Both sexes,Number,63701.6
403,Population at Each Census,1855,State,Both sexes,Number,4827778.6
404,Population at Each Census,1855,Monaghan,Both sexes,Number,135686.6
405,Population at Each Census,1856,Monaghan,Both sexes,Number,134152.5
406,Population at Each Census,1856,Carlow,Both sexes,Number,62607.5
407,Population at Each Census,1856,Dublin,Both sexes,Number,407699.5
408,Population at Each Census,1856,Kildare,Both sexes,Number,93334.5
409,Population at Each Census,1856,Kilkenny,Both sexes,Number,141631.5
410,Population at Each Census,1856,Laois,Both sexes,Number,101157.0
411,Population at Each Census,1856,Longford,Both sexes,Number,77021.0
412,Population at Each Census,1856,Louth,Both sexes,Number,99187.5
413,Population at Each Census,1856,Meath,Both sexes,Number,125560.5
414,Population at Each Census,1856,Offaly,Both sexes,Number,101059.5
415,Population at Each Census,1856,Westmeath,Both sexes,Number,101143.0
416,Population at Each Census,1856,Wexford,Both sexes,Number,162056.0
417,Population at Each Census,1856,Wicklow,Both sexes,Number,92729.0
418,Population at Each Census,1856,Clare,Both sexes,Number,189372.5
419,Population at Each Census,1856,Cork,Both sexes,Number,597063.0
420,Population at Each Census,1856,Kerry,Both sexes,Number,220027.0
421,Population at Each Census,1856,Limerick,Both sexes,Number,239704.5
422,Population at Each Census,1856,Tipperary,Both sexes,Number,290336.5
423,Population at Each Census,1856,Waterford,Both sexes,Number,149143.5
424,Population at Each Census,1856,Galway,Both sexes,Number,296581.0
425,Population at Each Census,1856,Leitrim,Both sexes,Number,108320.5
426,Population at Each Census,1856,Mayo,Both sexes,Number,264647.5
427,Population at Each Census,1856,Roscommon,Both sexes,Number,165354.0
428,Population at Each Census,1856,Sligo,Both sexes,Number,126680.0
429,Population at Each Census,1856,State,Both sexes,Number,4756834.0
430,Population at Each Census,1856,Cavan,Both sexes,Number,163988.5
431,Population at Each Census,1856,Donegal,Both sexes,Number,246276.5
432,Population at Each Census,1857,Donegal,Both sexes,Number,244500.2
433,Population at Each Census,1857,Carlow,Both sexes,Number,61513.4
434,Population at Each Census,1857,Dublin,Both sexes,Number,408210.0
